dataset,dataset_description,minority_fraction,imbalance_treatment,sweep,n_estimators,max_depth,test_accuracy,test_f1_macro,test_auc_roc,minority_recall,oob_accuracy,fit_seconds
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,90,None,0.9968,0.832529474812433,0.992363344051447,0.6666666666666666,0.9985264567983925,56.46030579999206
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,100,None,0.9972,0.8471228520760716,0.9928322615219721,0.6666666666666666,0.9986604152712659,65.44189660000848
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,110,None,0.9968,0.832529474812433,0.9930667202572347,0.6666666666666666,0.9985934360348292,77.69620549998945
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,120,None,0.9968,0.832529474812433,0.9927987674169346,0.6666666666666666,0.9985264567983925,85.63802370001213
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,130,None,0.9968,0.832529474812433,0.9926647909967846,0.6666666666666666,0.9985264567983925,64.09114689999842
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,140,None,0.9968,0.832529474812433,0.9925978027867096,0.6666666666666666,0.9985934360348292,48.08321460001753
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,150,None,0.9968,0.832529474812433,0.9925643086816721,0.6666666666666666,0.9985934360348292,51.54608219998772
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,160,None,0.9964,0.8190954773869347,0.9924638263665595,0.6666666666666666,0.9986604152712659,54.41038139999728
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,170,None,0.9968,0.832529474812433,0.9925978027867095,0.6666666666666666,0.9986604152712659,58.04350919998251
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,180,None,0.9968,0.832529474812433,0.992765273311897,0.6666666666666666,0.9985934360348292,61.31699560000561
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,190,None,0.9964,0.8190954773869347,0.992698285101822,0.6666666666666666,0.9985934360348292,65.01324869997916
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,200,None,0.9968,0.832529474812433,0.9931337084673099,0.6666666666666666,0.9985934360348292,68.57269999998971
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,1,0.916083916083916,0.9085677749360614,0.9884696016771488,0.8490566037735849,0.9225352112676056,1.5467070000013337
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,2,0.9440559440559441,0.9400419287211741,0.989937106918239,0.9245283018867925,0.9553990610328639,3.1492832000076305
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,3,0.9440559440559441,0.9400419287211741,0.9922431865828093,0.9245283018867925,0.9460093896713615,4.603772600006778
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,4,0.958041958041958,0.9546703296703296,0.9928721174004193,0.9245283018867925,0.9553990610328639,5.67860300000757
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,5,0.951048951048951,0.947329650092081,0.9937106918238994,0.9245283018867925,0.9553990610328639,6.606438999995589
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,6,0.958041958041958,0.9546703296703296,0.9945492662473795,0.9245283018867925,0.960093896713615,6.816584900021553
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,7,0.958041958041958,0.9546703296703296,0.9947589098532496,0.9245283018867925,0.9553990610328639,7.3497175999800675
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,8,0.958041958041958,0.9546703296703296,0.9944444444444444,0.9245283018867925,0.9577464788732394,7.013015200005611
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,9,0.958041958041958,0.9546703296703296,0.9943396226415094,0.9245283018867925,0.9553990610328639,6.9350965000048745
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,10,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.038829599972814
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,11,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.213159700011602
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,12,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.07309710001573
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,13,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.024278400000185
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,14,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.50550640001893
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,15,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.361917000001995
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,16,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.4541180999949574
breast_cancer,Breast Cancer Wisconsin Diagnostic from sklearn.datasets.,0.37258347978910367,none,max_depth,100,17,0.958041958041958,0.9546703296703296,0.9942348008385744,0.9245283018867925,0.9553990610328639,7.138454300002195
